FID,ann_ssh
vbl_ssh_allreg_ann.60931,2.58999991
vbl_ssh_allreg_ann.60932,2.5999999
vbl_ssh_allreg_ann.60933,2.5999999
vbl_ssh_allreg_ann.60934,1.11000001
vbl_ssh_allreg_ann.60935,1.35000002
vbl_ssh_allreg_ann.60936,1.50999999
vbl_ssh_allreg_ann.60937,1.65999997
vbl_ssh_allreg_ann.60938,1.70000005
vbl_ssh_allreg_ann.60939,1.76999998
vbl_ssh_allreg_ann.60940,1.82000005
vbl_ssh_allreg_ann.60941,1.83000004
vbl_ssh_allreg_ann.60942,1.83000004
vbl_ssh_allreg_ann.60943,1.82000005
vbl_ssh_allreg_ann.60944,1.73000002
vbl_ssh_allreg_ann.41,3.06999993
vbl_ssh_allreg_ann.60945,1.74000001
vbl_ssh_allreg_ann.60946,1.25999999
vbl_ssh_allreg_ann.60947,1.66999996
vbl_ssh_allreg_ann.60948,1.79999995
vbl_ssh_allreg_ann.60949,1.90999997
vbl_ssh_allreg_ann.60950,2.00999999
vbl_ssh_allreg_ann.60951,2.02999997
vbl_ssh_allreg_ann.60952,2.02999997
vbl_ssh_allreg_ann.60953,2.01999998
vbl_ssh_allreg_ann.60954,1.96000004
vbl_ssh_allreg_ann.60955,1.94000006
vbl_ssh_allreg_ann.60956,1.95000005
vbl_ssh_allreg_ann.60957,1.99000001
vbl_ssh_allreg_ann.60958,2.03999996
vbl_ssh_allreg_ann.60959,2.08999991
vbl_ssh_allreg_ann.60960,2.1400001
vbl_ssh_allreg_ann.60961,2.19000006
vbl_ssh_allreg_ann.60962,2.24000001
vbl_ssh_allreg_ann.60963,2.27999997
vbl_ssh_allreg_ann.60964,2.30999994
vbl_ssh_allreg_ann.60965,2.33999991
vbl_ssh_allreg_ann.60966,2.36999989
vbl_ssh_allreg_ann.60967,2.4000001
vbl_ssh_allreg_ann.60968,2.42000008
vbl_ssh_allreg_ann.60969,2.44000006
vbl_ssh_allreg_ann.60970,2.45000005
vbl_ssh_allreg_ann.60971,2.46000004
vbl_ssh_allreg_ann.60972,2.47000003
vbl_ssh_allreg_ann.60973,2.48000002
vbl_ssh_allreg_ann.60974,2.5
vbl_ssh_allreg_ann.60975,2.50999999
vbl_ssh_allreg_ann.60976,2.52999997
vbl_ssh_allreg_ann.60977,2.53999996
vbl_ssh_allreg_ann.60978,2.54999995
vbl_ssh_allreg_ann.42,3.06999993
vbl_ssh_allreg_ann.60979,2.55999994
vbl_ssh_allreg_ann.60980,2.56999993
vbl_ssh_allreg_ann.60981,2.57999992
vbl_ssh_allreg_ann.60982,2.58999991
vbl_ssh_allreg_ann.60983,2.58999991
vbl_ssh_allreg_ann.60984,1.36000001
vbl_ssh_allreg_ann.60985,1.53999996
vbl_ssh_allreg_ann.60986,1.62
vbl_ssh_allreg_ann.60987,1.66999996
vbl_ssh_allreg_ann.60988,1.74000001
vbl_ssh_allreg_ann.60989,1.76999998
vbl_ssh_allreg_ann.60990,1.75999999
vbl_ssh_allreg_ann.60991,1.73000002
vbl_ssh_allreg_ann.60992,1.61000001
vbl_ssh_allreg_ann.60993,1.58000004
vbl_ssh_allreg_ann.60994,1.36000001
vbl_ssh_allreg_ann.60995,1.63999999
vbl_ssh_allreg_ann.60996,1.71000004
vbl_ssh_allreg_ann.60997,1.83000004
vbl_ssh_allreg_ann.60998,1.92999995
vbl_ssh_allreg_ann.60999,1.98000002
vbl_ssh_allreg_ann.61000,2
vbl_ssh_allreg_ann.61001,2
vbl_ssh_allreg_ann.61002,1.98000002
