FID,may_ssh
vbl_ssh_allreg_may.61013,1.82000005
vbl_ssh_allreg_may.61014,1.84000003
vbl_ssh_allreg_may.61015,1.86000001
vbl_ssh_allreg_may.61016,1.88
vbl_ssh_allreg_may.61017,1.88999999
vbl_ssh_allreg_may.61018,1.89999998
vbl_ssh_allreg_may.61019,1.90999997
vbl_ssh_allreg_may.61020,1.91999996
vbl_ssh_allreg_may.61021,1.92999995
vbl_ssh_allreg_may.61022,1.94000006
vbl_ssh_allreg_may.61023,1.95000005
vbl_ssh_allreg_may.61024,1.96000004
vbl_ssh_allreg_may.61025,1.97000003
vbl_ssh_allreg_may.61026,1.97000003
vbl_ssh_allreg_may.61027,1.98000002
vbl_ssh_allreg_may.61028,1.98000002
vbl_ssh_allreg_may.61029,1.99000001
vbl_ssh_allreg_may.61030,1.99000001
vbl_ssh_allreg_may.61031,2
vbl_ssh_allreg_may.61032,2
